Frontside,Flipside,Category,Level
Stromchiffre,Zeichen des Klartexts werden einzeln mit den Zeichen eines Schluesselstroms verknuepft,Sicherheit,0
Blockchiffre,"Kann nur einzelnen Block auf Chiffrat abbilden, fuer laengere Klartexte werden Betriebsmodi gebraucht (ECB, CBC, CFB, OFB)",Sicherheit,0
ECB,"Electronic Codebook Mode:

C<sub>i</sub> := E(K, M<sub>i</sub> )

parallelisierbar
Fehler wirkt sich nur auf entsprechenden Block aus",Sicherheit,0
CBC,"Cipher Block Chaining Mode

C<sub>i</sub> := E(K, M<sub>i</sub> xor C<sub>i-1</sub>)
M<sub>i</sub> := D(K, C<sub>i</sub>) xor C<sub>i-1

</sub>parallelisierbar
Fehler randomisiert entsprechenden Klartextblock, im folgenden Block werden die gleichen Bits geaendert",Sicherheit,0
CFB,"Cipher Feedback Mode

C<sub>i</sub> := E(K, C<sub>i-1</sub>) xor M<sub>i

</sub>parallelisierbar
Fehler wirkt sich so lange auf Klartext aus, bis entsprechendes Bit aus Schieberegister fliegt",Sicherheit,0
OFB,"Output Feedback Mode

C<sub>i</sub> := E(K, D<sub>i-1</sub>) xor M<sub>i</sub>

nicht parallelisierbar
Bitfehler wirken sich nur auf entsprechende Bits im Klartext aus, keine Fortpflanzung

ist letztlich Stromchiffre",Sicherheit,0
DES-Rundenfunktion F,,Sicherheit,0
DES-Feistelstruktur,,Sicherheit,0
Meet-in-the-Middle-Angriff auf 2DES,"Gegeben: Nachricht-Chiffrat-Paar, gesucht: K = (K<sub>1</sub>, K<sub>2</sub>)
Verschluessel M mit allen moeglichen Schluesseln, sortiere, entschluessel C mit allen moeglichen Schluesseln und vergleiche mit sortierter Liste",Sicherheit,0
Lineare Kryptoanalyse,"Finde F<sub>2</sub>-lineare Abhaengigkeiten zwischen den Bits

Idealer Fall: K aus Paaren herleitbar

Bei Feistelverfahren indirekter Angriff moeglich:
1. Finde lin. Abh. zwischen F-Ein- und -Ausgabe
2. Erweitere Abhaengigkeiten auf die ersten n-1 Feistel-Runden
3. Vollstaendige Suche ueber letzten Rundenschluessel K<sup>(n)</sup>...
4. ...ueberpruefe K<sup>(n)</sup>-Kandidaten mittels linearer Abhaengigkeit
5. Wenn K<sup>(n)</sup> gefunden, suche nach K<sup>(n-1)</sup>, danach K<sup>(n-2)</sup>",Sicherheit,0
Semantische Sicherheit von symmetrischen Verschluesselungsverfahren,"Ein symmetrisches Verschluesselungsverfahren ist semantisch sicher, wenn es fuer jede M-Verteilung von Nachrichten gleicher Laenge, jede Funktion f und jeden effizienten Algorithmus A einen effizienten Algorithmus B gibt, sodass

Pr[A<sup>Enc(K,.)</sup>(Enc(K,M)) = f(M)] - Pr[B(e) = f(M)]

klein ist.

Ein symmetrisches Verschluesselungsverfahren ist genau dann semantisch sicher, wenn es IND-CPA sicher ist.",Sicherheit,0
IND-CPA (indistinguishability under chosen-plaintext attacks),"Kein effizienter Angreifer A kann Chriffrate von selbstgewaehlten Klartexten unterscheiden:
1. A erhaelt Zugriff auf Enc(K, .)-Orakel
2. A waehlt zwei Nachrichten M<sup>(1)</sup>, M<sup>(2)</sup> gleicher Laenge
3. A erhaelt C<sup>*</sup> := Enc(K, M<sup>(b)</sup>) fuer gleichverteiltes b in {1, 2}
4. A gewinnt, wenn es b richtig raet

forall A: (Pr[A gewinnt] - 0.5) klein :&lt;=&gt; Schema IND-CPA-sicher

Ein symmetrisches Verschluesselungsverfahren ist genau dann semantisch sicher, wenn es IND-CPA sicher ist.",Sicherheit,0
Kollisionsresistenz von Hashfunktionen,"Eine Hashfunktion H ist kollisionsresistent, wenn jeder effiziente Algorithmus nur mit kleiner Wahrscheinlichkeit eine Kollision findet.

Formal:
Eine ueber k parametrisierte Funktion H ist kollisionsresistent, wenn jeder PPT-Algorithmus nur mit hoechstens vernachlaessigbarer Wahrscheinlichkeit eine Kollision findet.


Genauer: fuer jeden PPT-Algorithmus A ist

Adv<sup>cr</sup><sub>H,A</sub>(k) := Pr[(X, X') &lt;- A(1<sup>k</sup>) : X != X' und H<sub>k</sub>(X) = H<sub>k</sub>(X')]

vernachlaessigbar.

Kollisionsresistenz =&gt; Einwegeigenschaft",Sicherheit,0
kleine Wahrscheinlichkeit,"Vernachlaessigbar (in k)
f: N -&gt; R vernachlaessigbar :&lt;=&gt; |f| verschwindet asymptotisch schneller als Kehrwert jedes vorgegebenen Polynoms",Sicherheit,0
